,Method,Feature Descriptor,k-cluster,Max Accuracy,Max Precision,Max Sensitivity,Max Specificity,Max F1-score,Max AUC,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
87,ExtraTreeClassifier,akaze,256,1,1,1,1,1,1,0.82867,0.81833,0.78583,0.9,0.79197,0.78583,0.801159272,0.81254661,0.773963325,0.78872469,0.754180836,0.767555528,0.86832701,0.879945717,0.756670243,0.770387701,0.754180836,0.767555528
88,ExtraTreeClassifier,akaze,64,1,1,1,1,1,1,0.84007,0.8491,0.782,0.9,0.79,0.782,0.803995502,0.812247145,0.806766199,0.818703365,0.727621816,0.739678184,0.912705058,0.922294942,0.733519616,0.746190044,0.727621816,0.739678184
89,LogisticRegression,sift,128,1,1,1,1,1,1,0.80238,0.7862,0.81666,0.99166,0.75827,0.81666,0.767184678,0.775672465,0.782790558,0.789627857,0.814031726,0.819301607,0.691603736,0.708396264,0.753899196,0.762654072,0.814031726,0.819301607
90,LogisticRegression,sift,256,1,1,1,1,1,1,0.84841,0.8842,0.82916,1,0.79462,0.82916,0.793075578,0.806924422,0.809384356,0.821794188,0.823691753,0.83464158,0.731215958,0.752117376,0.787781151,0.801472438,0.823691753,0.83464158
91,LogisticRegression,sift,64,1,1,1,1,1,1,0.84841,0.8842,0.82916,1,0.79462,0.82916,0.793075578,0.806924422,0.809384356,0.821794188,0.823691753,0.83464158,0.731215958,0.752117376,0.787781151,0.801472438,0.823691753,0.83464158
92,LogisticRegression,surf,128,1,1,1,1,1,1,0.78571,0.77738,0.88363,1,0.75824,0,0.769055764,0.781737886,0.77062199,0.784139915,0.793587248,0.806412752,0.707958168,0.725375165,0.750756544,0.76573721,0.793587248,0.806412752
93,LogisticRegression,surf,256,1,1,1,1,1,1,0.80396,0.82171,0.81666,0.99166,0.75035,0.81666,0.757007962,0.766801562,0.772653367,0.779092665,0.812468535,0.820864798,0.659358657,0.673974676,0.745387757,0.755326529,0.812468535,0.820864798
94,LogisticRegression,surf,64,1,1,1,1,1,1,0.85396,0.8755,0.87083,0.99166,0.82483,0.87083,0.827595081,0.842246189,0.835912334,0.847420999,0.866440922,0.875225745,0.781527215,0.801806118,0.817116313,0.832559012,0.866440922,0.875225745
95,LogisticRegression,surf100,128,1,1,1,1,1,1,0.85897,0.84477,0.86212,1,0.84302,0.86212,0.853695558,0.86425316,0.839741574,0.849814703,0.856845681,0.867396743,0.850646592,0.864504923,0.837822033,0.848229705,0.856845681,0.867396743
96,LogisticRegression,surf100,256,1,1,1,1,1,1,0.84017,0.83675,0.80757,1,0.80006,0.80757,0.837308916,0.843032964,0.832440141,0.841063023,0.798849858,0.808725899,0.885235869,0.896582312,0.795564372,0.804559094,0.798849858,0.808725899
97,LogisticRegression,surf100,64,1,1,1,1,1,1,0.8282,0.80879,0.85265,1,0.80217,0.85265,0.809028674,0.818321754,0.804431987,0.813165415,0.849091659,0.856211371,0.749228362,0.761377698,0.797000569,0.807343665,0.849091659,0.856211371
98,LogisticRegression,surf50,128,1,1,1,1,1,1,0.78461,0.77355,0.81136,1,0.76603,0.81136,0.754698372,0.765814449,0.768640143,0.778463032,0.806084342,0.816642931,0.665332803,0.680121742,0.744334893,0.755606062,0.806084342,0.816642931
99,LogisticRegression,surf50,256,1,1,1,1,1,1,0.81239,0.78737,0.81893,1,0.79139,0.81893,0.803500413,0.821285912,0.77763686,0.797110615,0.805850384,0.825967798,0.807564368,0.822738662,0.781610441,0.801186183,0.805850384,0.825967798
