,Algo,Mean Accuracy,Mean Precision,Mean Sensitivity,Mean Specificity,Mean F1-score,Mean AUC,CI UP Accuracy,CI Down Accuracy,CI UP Precision,CI Down Precision,CI UP Sensitivity,CI Down Sensitivity,CI UP Specificity,CI Down Specificity,CI UP F1-score,CI Down F1-score,CI UP AUC,CI Down AUC
71,ExtraTreeClassifier_surf50_64,0.0,90.4,88.7,95.83,88.4,88.7,87.13,88.24,87.13,88.45,84.21,85.45,92.38,93.5,84.96,86.21,84.21,85.45
72,ExtraTreeClassifier_surf0_1024,86.67,89.55,82.0,99.17,83.06,82.0,82.28,83.46,82.82,84.21,76.72,78.27,93.2,94.03,77.5,79.08,76.72,78.27
73,ExtraTreeClassifier_surf0_128,90.56,90.7,89.17,95.83,89.27,89.17,87.84,89.0,86.76,88.18,84.97,86.36,91.72,92.7,85.45,86.82,84.97,86.36
74,ExtraTreeClassifier_surf0_256,0.0,91.29,88.33,95.83,88.23,88.33,86.04,86.91,87.53,88.46,82.34,83.51,91.91,93.06,82.79,83.87,82.34,83.51
75,ExtraTreeClassifier_surf0_512,89.02,90.09,84.92,98.33,84.87,84.92,83.64,84.69,80.98,82.84,76.71,78.48,93.01,93.79,77.4,79.22,76.71,78.48
76,ExtraTreeClassifier_surf0_64,89.57,89.54,88.3,93.33,87.43,88.3,87.18,88.11,85.35,86.74,84.35,85.59,89.35,90.81,83.92,85.28,84.35,85.59
77,ExtraTreeClassifier_orb_128,86.67,85.95,84.58,92.0,84.87,84.58,83.05,84.26,82.02,83.38,80.81,82.14,87.32,88.55,80.77,82.12,80.81,82.14
78,ExtraTreeClassifier_orb_256,82.61,82.5,80.42,91.67,79.21,80.42,79.23,80.29,77.84,79.0,75.75,77.13,85.99,87.36,74.84,76.1,75.75,77.13
79,ExtraTreeClassifier_orb_64,87.14,87.11,87.92,91.67,85.65,87.92,84.02,85.38,83.32,84.84,83.87,85.16,85.47,87.22,81.92,83.43,83.87,85.16
80,ExtraTreeClassifier_brisk_128,81.76,80.96,70.0,93.33,76.39,70.0,78.11,79.15,74.75,76.13,71.02,72.38,88.05,89.02,71.56,72.92,71.02,72.38
81,ExtraTreeClassifier_brisk_256,78.82,80.31,71.7,93.33,72.91,71.7,75.78,76.7,75.6,77.17,66.14,67.46,89.1,90.35,66.04,67.37,66.14,67.46
82,ExtraTreeClassifier_brisk_64,81.18,79.68,76.7,90.83,77.22,76.7,77.63,78.85,74.81,76.58,71.18,72.71,86.6,87.86,71.27,72.88,71.18,72.71
83,ExtraTreeClassifier_kaze_128,83.68,84.9,80.42,92.0,79.03,80.42,80.55,81.39,81.14,82.09,76.25,77.46,89.17,90.55,75.12,76.04,76.25,77.46
84,ExtraTreeClassifier_kaze_256,82.56,85.08,78.33,93.33,77.9,78.33,77.85,78.89,78.01,79.37,71.47,72.78,90.63,91.87,71.3,72.47,71.47,72.78
85,ExtraTreeClassifier_kaze_64,83.59,82.18,77.0,91.67,78.62,77.0,79.82,81.05,78.27,80.27,72.27,74.16,88.35,89.85,73.56,75.44,72.27,74.16
86,ExtraTreeClassifier_akaze_128,81.73,83.03,75.96,93.33,76.69,75.96,79.28,80.39,75.71,77.75,72.24,73.71,88.98,90.57,71.75,73.5,72.24,73.71
