,Algo,AUC,F1,SPEC,SENS,PRE,ACC
75,ExtraTreeClassifier surf0 512,(76.71 - 78.48),(77.4 - 79.22),(93.01 - 93.79),(76.71 - 78.48),(80.98 - 82.84),(83.64 - 84.69)
76,ExtraTreeClassifier surf0 64,(84.35 - 85.59),(83.92 - 85.28),(89.35 - 90.81),(84.35 - 85.59),(85.35 - 86.74),(87.18 - 88.11)
77,ExtraTreeClassifier orb 128,(80.81 - 82.14),(80.77 - 82.12),(87.32 - 88.55),(80.81 - 82.14),(82.02 - 83.38),(83.05 - 84.26)
78,ExtraTreeClassifier orb 256,(75.75 - 77.13),(74.84 - 76.1),(85.99 - 87.36),(75.75 - 77.13),(77.84 - 79.0),(79.23 - 80.29)
79,ExtraTreeClassifier orb 64,(83.87 - 85.16),(81.92 - 83.43),(85.47 - 87.22),(83.87 - 85.16),(83.32 - 84.84),(84.02 - 85.38)
80,ExtraTreeClassifier brisk 128,(71.02 - 72.38),(71.56 - 72.92),(88.05 - 89.02),(71.02 - 72.38),(74.75 - 76.13),(78.11 - 79.15)
81,ExtraTreeClassifier brisk 256,(66.14 - 67.46),(66.04 - 67.37),(89.1 - 90.35),(66.14 - 67.46),(75.6 - 77.17),(75.78 - 76.7)
82,ExtraTreeClassifier brisk 64,(71.18 - 72.71),(71.27 - 72.88),(86.6 - 87.86),(71.18 - 72.71),(74.81 - 76.58),(77.63 - 78.85)
83,ExtraTreeClassifier kaze 128,(76.25 - 77.46),(75.12 - 76.04),(89.17 - 90.55),(76.25 - 77.46),(81.14 - 82.09),(80.55 - 81.39)
84,ExtraTreeClassifier kaze 256,(71.47 - 72.78),(71.3 - 72.47),(90.63 - 91.87),(71.47 - 72.78),(78.01 - 79.37),(77.85 - 78.89)
85,ExtraTreeClassifier kaze 64,(72.27 - 74.16),(73.56 - 75.44),(88.35 - 89.85),(72.27 - 74.16),(78.27 - 80.27),(79.82 - 81.05)
86,ExtraTreeClassifier akaze 128,(72.24 - 73.71),(71.75 - 73.5),(88.98 - 90.57),(72.24 - 73.71),(75.71 - 77.75),(79.28 - 80.39)
87,ExtraTreeClassifier akaze 256,(75.42 - 76.76),(75.67 - 77.04),(86.83 - 87.99),(75.42 - 76.76),(77.4 - 78.87),(80.12 - 81.25)
88,ExtraTreeClassifier akaze 64,(72.76 - 73.97),(73.35 - 74.62),(91.27 - 92.23),(72.76 - 73.97),(80.68 - 81.87),(80.4 - 81.22)
89,LogisticRegression sift 128,(81.4 - 81.93),(75.39 - 76.27),(69.16 - 70.84),(81.4 - 81.93),(78.28 - 78.96),(76.72 - 77.57)
90,LogisticRegression sift 256,(82.37 - 83.46),(78.78 - 80.15),(73.12 - 75.21),(82.37 - 83.46),(80.94 - 82.18),(79.31 - 80.69)
91,LogisticRegression sift 64,(82.37 - 83.46),(78.78 - 80.15),(73.12 - 75.21),(82.37 - 83.46),(80.94 - 82.18),(79.31 - 80.69)
92,LogisticRegression surf 128,(79.36 - 80.64),(75.08 - 76.57),(70.8 - 72.54),(79.36 - 80.64),(77.06 - 78.41),(76.91 - 78.17)
93,LogisticRegression surf 256,(81.25 - 82.09),(74.54 - 75.53),(65.94 - 67.4),(81.25 - 82.09),(77.27 - 77.91),(75.7 - 76.68)
94,LogisticRegression surf 64,(86.64 - 87.52),(81.71 - 83.26),(78.15 - 80.18),(86.64 - 87.52),(83.59 - 84.74),(82.76 - 84.22)
95,LogisticRegression surf100 128,(85.68 - 86.74),(83.78 - 84.82),(85.06 - 86.45),(85.68 - 86.74),(83.97 - 84.98),(85.37 - 86.43)
96,LogisticRegression surf100 256,(79.88 - 80.87),(79.56 - 80.46),(88.52 - 89.66),(79.88 - 80.87),(83.24 - 84.11),(83.73 - 84.3)
97,LogisticRegression surf100 64,(84.91 - 85.62),(79.7 - 80.73),(74.92 - 76.14),(84.91 - 85.62),(80.44 - 81.32),(80.9 - 81.83)
98,LogisticRegression surf50 128,(80.61 - 81.66),(74.43 - 75.56),(66.53 - 68.01),(80.61 - 81.66),(76.86 - 77.85),(75.47 - 76.58)
99,LogisticRegression surf50 256,(80.59 - 82.6),(78.16 - 80.12),(80.76 - 82.27),(80.59 - 82.6),(77.76 - 79.71),(80.35 - 82.13)
100,LogisticRegression surf50 512,(79.71 - 81.07),(77.58 - 78.88),(80.11 - 81.68),(79.71 - 81.07),(78.33 - 79.61),(79.77 - 81.02)
101,LogisticRegression surf50 64,(81.8 - 83.12),(76.13 - 77.5),(67.32 - 69.2),(81.8 - 83.12),(78.55 - 79.64),(76.84 - 78.29)
102,LogisticRegression surf0 1024,(85.37 - 86.27),(82.06 - 82.96),(80.62 - 82.07),(85.37 - 86.27),(82.8 - 83.59),(83.65 - 84.54)
103,LogisticRegression surf0 128,(82.35 - 83.33),(77.82 - 78.71),(73.54 - 74.49),(82.35 - 83.33),(77.99 - 78.86),(79.13 - 80.01)
104,LogisticRegression surf0 256,(83.6 - 84.65),(77.73 - 79.03),(68.84 - 71.01),(83.6 - 84.65),(80.8 - 81.52),(78.54 - 79.92)
